Cities,Countries,lat,lon,temp,humidity,cloudiness,wind speed,date
Mataura,NZ,-46.1927,168.8643,21.93,36,100,3.25,1645159626
Bengkulu,ID,-3.8004,102.2655,28.87,64,99,1.43,1645159627
Puerto Ayora,EC,-0.7393,-90.3518,23.87,89,99,2.95,1645159627
Effium,NG,6.6292,8.0593,25.17,80,40,1.22,1645159628
Keetmanshoop,NA,-26.5833,18.1333,22.97,63,27,3.12,1645159629
Provideniya,RU,64.3833,-173.3,-11.94,61,0,8.0,1645159629
Honningsvåg,NO,70.9821,25.9704,-0.14,64,40,10.8,1645159630
Codrington,AU,-38.2667,141.9667,18.27,51,69,7.04,1645159631
Ilulissat,GL,69.2167,-51.1,-14.99,78,100,1.03,1645159632
Cabo San Lucas,MX,22.8909,-109.9124,19.18,73,100,0.63,1645159556
Hobart,AU,-42.8794,147.3294,18.31,43,40,11.32,1645159633
Mahébourg,MU,-20.4081,57.7,27.16,78,75,7.72,1645159633
Zyryanovsk,KZ,49.7386,84.2719,-16.25,85,100,0.43,1645159634
Ahipara,NZ,-35.1667,173.1667,21.84,61,91,1.46,1645159634
Kenai,US,60.5544,-151.2583,-0.1,96,100,4.12,1645159635
Khatanga,RU,71.9667,102.5,-34.02,97,28,1.35,1645159636
Kruisfontein,ZA,-34.0033,24.7314,16.03,80,0,2.17,1645159637
Wajima,JP,37.4,136.9,4.38,70,40,3.09,1645159637
Saint Paul Harbor,US,57.79,-152.4072,6.73,76,100,3.6,1645159638
La Providencia,MX,28.7167,-111.5833,14.02,62,0,6.7,1645159639
Norman Wells,CA,65.282,-126.8329,-22.98,64,75,5.66,1645159639
Katsuura,JP,35.1333,140.3,10.07,34,8,6.84,1645159640
Padang,ID,-0.9492,100.3543,31.03,61,69,1.46,1645159641
Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,77,75,7.2,1645159641
Aripuanã,BR,-9.1667,-60.6333,22.13,99,96,0.61,1645159642
Port Alfred,ZA,-33.5906,26.891,20.69,69,29,4.09,1645159522
Saint-Pierre,RE,-21.3393,55.4781,27.83,69,20,10.29,1645159643
Albany,US,42.6001,-73.9662,10.66,93,100,0.89,1645159643
Busselton,AU,-33.65,115.3333,36.14,31,7,3.53,1645159644
Tasiilaq,GL,65.6145,-37.6368,-4.91,93,100,8.4,1645159644
São José da Coroa Grande,BR,-8.8978,-35.1478,25.63,77,91,2.74,1645159645
Tutóia,BR,-2.7619,-42.2744,25.71,80,84,3.95,1645159646
Cape Town,ZA,-33.9258,18.4232,17.37,72,0,6.17,1645159646
Kalmunai,LK,7.4167,81.8167,27.41,74,77,3.7,1645159647
Punta Arenas,CL,-53.15,-70.9167,11.06,82,75,2.57,1645159648
Arraial do Cabo,BR,-22.9661,-42.0278,23.37,91,83,4.15,1645159648
Ribeira Grande,PT,38.5167,-28.7,10.61,65,98,10.34,1645159649
